SITE_ID,PLOT,COMMUNITY,Scientific,SPECIES_CODE,PERCENT_COVER,ORIGIN,MAX_LH,
12-004,22,1,Lilaea scilloides,flowering quillwort,0.5,N,,
12-004,4,2,Lilaea scilloides,flowering quillwort,1.0,N,,
12-004,26,1,Lilaea scilloides,flowering quillwort,0.5,N,,
12-004,5,1,Lilaea scilloides,flowering quillwort,1.0,N,,
12-004,11,1,Lilaea scilloides,flowering quillwort,0.5,N,,
12-004,20,1,Alisma sp.,water-plantain,5.0,U,,
12-004,2,1,Alisma sp.,water-plantain,0.5,U,,
12-004,30,1,Alisma sp.,water-plantain,2.0,U,,
12-004,8,2,Persicaria sp.,persicaria,0.5,U,,
12-004,16,1,Persicaria sp.,persicaria,1.0,U,,
12-004,1,1,Lycopus sp.,horehound,5.0,U,,
12-004,26,1,Persicaria sp.,persicaria,1.0,U,,
12-004,6,2,Persicaria sp.,persicaria,0.5,U,,
12-004,5,1,Persicaria sp.,persicaria,1.0,U,,
12-004,27,1,Alisma sp.,water-plantain,0.5,U,,
12-004,9,1,Alisma sp.,water-plantain,1.0,U,,
12-004,40,1,Lycopus sp.,horehound,2.0,U,,
12-004,31,1,Persicaria sp.,persicaria,1,U,,
12-004,38,2,Persicaria sp.,persicaria,1,U,,
12-004,13,1,Persicaria sp.,persicaria,1,U,,
12-004,14,1,Persicaria sp.,persicaria,1,U,,
12-004,3,1,Persicaria sp.,persicaria,1,U,,
12-004,10,1,Persicaria sp.,persicaria,1,U,,
12-004,10,1,Alisma sp.,water-plantain,1,U,,
12-004,20,1,,ground,55.5,S,,
12-004,37,2,,ground,54.0,S,,
12-004,23,2,,ground,18.0,S,,
12-004,29,2,,ground,92.0,S,,
12-004,22,1,,ground,5.0,S,,
12-004,45,1,,ground,5.0,S,,
12-004,2,1,,ground,60.5,S,,
12-004,30,1,,ground,14.0,S,,
12-004,8,2,,ground,20.0,S,,
12-004,36,1,,ground,1.5,S,,
12-004,4,2,,ground,2.0,S,,
12-004,41,1,,ground,2.5,S,,
12-004,1,1,,ground,20.0,S,,
12-004,6,2,,ground,71.0,S,,
12-004,33,1,,ground,20.0,S,,
12-004,27,1,,ground,40.0,S,,
12-004,34,2,,ground,90,S,,
12-004,32,2,,ground,99,S,,
12-004,11,1,,ground,22,S,,
12-004,38,2,,ground,96,S,,
12-004,35,1,,ground,43,S,,
12-004,13,1,,ground,39,S,,
12-004,15,2,,ground,98,S,,
12-004,7,2,,ground,82,S,,
12-004,14,1,,ground,3,S,,
12-004,10,1,,ground,30,S,,
